instrument_oid;instrument_type;category;num_underlyings;expiry_date;time_to_expiry;num_paths;num_time_steps;num_exercise_events;calibration_date;calibration_time
26720469;Option;BRC;3;20.06.2024 17:30;0.054794521;15000;1;0;31.05.2024;19.96875
27296523;Option;BRC;3;05.08.2024 17:35;0.180821918;15000;1;0;31.05.2024;18.15625
27596381;Option;BRC;5;08.04.2025 17:30;0.854794521;15000;1;0;31.05.2024;83.890625
27395437;Option;BRC;3;08.08.2024 17:30;0.189041096;15000;1;0;31.05.2024;17.6875
27672211;Option;BRC;3;28.10.2024 17:30;0.410958904;15000;1;0;31.05.2024;19.09375
27755724;Option;BRC;3;21.05.2025 17:30;0.97260274;15000;1;0;31.05.2024;20.109375
26841421;Option;BRC;3;12.08.2024 17:30;0.2;15000;1;0;31.05.2024;19.484375
27686270;Option;BRC;2;05.05.2025 17:30;0.928767123;15000;1;0;31.05.2024;7.015625
26753024;Option;BRC;3;05.07.2024 22:00;0.095890411;15000;1;0;31.05.2024;20.46875
27407623;Option;BRC;3;13.08.2024 17:35;0.202739726;15000;1;0;31.05.2024;20.265625
27485730;Option;BRC;4;09.12.2024 22:00;0.526027397;15000;1;0;31.05.2024;42.9375
27477146;TotalReturnSwap;CBRC;3;11.09.2025 00:00;1.282191781;15000;1;6;31.05.2024;57.203125
27488797;Option;BRC;1;10.03.2025 17:30;0.775342466;15000;1;0;31.05.2024;1.78125
27551718;Option;BRC;2;19.03.2025 17:30;0.8;15000;1;0;31.05.2024;7.28125
27220425;Option;BRC;1;16.12.2024 22:00;0.545205479;15000;1;0;31.05.2024;1.640625
27655442;TotalReturnSwap;CBRC;3;29.10.2025 00:00;1.41369863;15000;1;6;31.05.2024;65.3125
27439816;Option;BRC;3;03.03.2025 17:35;0.756164384;15000;1;0;31.05.2024;18.953125
27380006;Option;BRC;3;31.07.2024 17:30;0.167123288;15000;1;0;31.05.2024;19.203125
27612932;TotalReturnSwap;CBRC;3;22.10.2025 00:00;1.394520548;15000;1;17;31.05.2024;161.3125
27130453;Option;BRC;4;14.11.2024 17:30;0.457534247;15000;1;0;31.05.2024;47.671875
27357417;Option;BRC;3;23.10.2024 22:00;0.397260274;15000;1;0;31.05.2024;19.625
27199163;TotalReturnSwap;CBRC;3;12.06.2025 00:00;1.032876712;15000;1;5;31.05.2024;49.8125
27784728;Option;BRC;3;03.01.2025 17:30;0.594520548;15000;1;0;31.05.2024;19.421875
27299839;TotalReturnSwap;AC;3;13.01.2025 00:00;0.621917808;15000;1;3;31.05.2024;31.578125
26931129;Option;BRC;3;16.09.2024 17:30;0.295890411;15000;1;0;31.05.2024;19.109375
27045390;TotalReturnSwap;AC;3;27.01.2025 00:00;0.660273973;15000;1;3;31.05.2024;33.515625
27702822;Option;BRC;2;08.11.2024 17:30;0.44109589;15000;1;0;31.05.2024;6.21875
